product_name,manufacturer,pharmaceutical_form,expiration_date,register_year,durability
cardilat 50,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-06-28,2000,25
alicon complex,laboratorios ameripharma,JARABE,2025-11-08,2000,25
tensolisin-d,acromax dominicana,TABLETA,2025-12-18,2000,25
biovagin,gefarca industria  farmaceutica perezespinosa,CREMA,2025-12-18,2000,25
enalamer-10,laboratorios ameripharma,COMPRIMIDO,2025-11-28,2000,25
enalamer-20,ver al dorso,COMPRIMIDO,2025-11-27,2000,25
amloben 5/20,laboratorios rowe,CAPSULA,2025-06-28,2000,25
betametasona mk,laboratorio corporacion bonima,CREMA,2025-12-14,2000,25
foliner,laboratorios ameripharma,COMPRIMIDO,2025-11-08,2000,25
albendazol mk,laboratorio corporacion bonima,SUSPENSION,2025-12-07,2000,25
lodipres 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-02-15,2000,25
coradip d 50,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-28,2000,25
fluoxil 20,laboratorios rowe,COMPRIMIDO,2025-07-04,2000,25
vita-petit,laboratorios dr. collado,JARABE,2025-12-28,2000,25
melonax  15,laboratorios rowe,COMPRIMIDO,2025-11-28,2000,25
nor-clovir,laboratorios teramed,CREMA,2025-12-15,2000,25
nor-clovir,laboratorios teramed,TABLETA,2025-12-07,2000,25
foxetin 10,gador,COMPRIMIDO,2025-12-12,2000,25
baten®,laboratorios bussie s.a.,CAPSULA,2026-05-02,2000,26
biovit,laboratorios sued,JARABE,2025-04-15,2000,25
amloben 2.5/10,laboratorios rowe,CAPSULA,2025-06-28,2000,25
ciprofloxacina lam 500 mg,laboratorio de aplicaciones medicas,CAPLETA,2025-12-18,2000,25
eritrex,laboratorios alfa,CAPLETA,2025-11-24,2000,25
glucagen,novo nordisk a/s,POLVO,2020-06-10,2000,20
carbo-c 600 d3,laboratorios de aplicaciones medicas,CAPLETA,2026-09-10,2000,26
atenolol feltrex,laboratorios feltrex,TABLETA,2025-11-30,2000,25
lodipres compositum,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-15,2000,25
tussibron balsamico pediatrico,laboratorio magnachem international,POLVO,2025-08-01,2000,25
eubron,laboratorios dr. collado,JARABE,2025-11-28,2000,25
vasocal ek 5/10,laboratorios rowe,CAPSULA,2025-07-04,2000,25
amloben 5/10,laboratorios rowe,CAPSULA,2025-06-28,2000,25
neostigmina metilsulfato,laboratorio sanderson s.a.,SOLUCION,2025-11-24,2000,25
daprinol,industria farmaceutica del caribe sas,CAPSULA,2025-05-10,2000,25
ferrosul,laboratorio laprofar,CAPSULA,2025-02-09,2000,25
tussibron balsamico adultos,laboratorio magnachem international,POLVO,2025-08-01,2000,25
diazex,laboratorios alfa,SOLUCION,2025-06-09,2000,25
mucovibrol-c,laboratorios liomont,SOLUCION,2025-07-07,2000,25
supradol,laboratorios liomont,SOLUCION,2025-07-07,2000,25
atenolol normon,laboratorios normon,COMPRIMIDO,2025-11-08,2000,25
atenolol normon,laboratorios normon,COMPRIMIDO,2025-11-08,2000,25
ranitidina normon 150 mg,laboratorios normon,COMPRIMIDO,2025-11-28,2000,25
brondil compositum,laboratorio magnachem international,JARABE,2025-02-09,2000,25
diocam 2,laboratorios casasco s.a.i.c.,COMPRIMIDO,2020-03-17,2000,20
ranitidina normon 300 mg,laboratorios normon,COMPRIMIDO,2025-12-04,2000,25
flusporan,laboratorios menarini,CREMA,2020-03-17,2000,20
severin,productos farmaceuticos,SUPOSITORIO,2020-03-14,2000,20
doxil 100,laboratorios dr. collado,CAPSULA,2025-11-08,2000,25
metoclopramida clorhidrato,laboratorio sanderson s.a.,SOLUCION,2025-12-28,2000,25
migradorixina,roemmers,COMPRIMIDO,2020-03-17,2000,20
dafloxen f,laboratorios liomont,TABLETA,2025-07-07,2000,25
nor-clovir,laboratorios teramed,SUSPENSION,2025-12-07,2000,25
mucifar compuesto,industria farmoquimica,JARABE,2025-10-27,2000,25
ciproquinol,acromax dominicana,SOLUCION,2025-11-21,2000,25
apetonil vita,laboratorio magnachem international,JARABE,2025-02-09,2000,25
avamigran,pharmacross s.a.,COMPRIMIDO,2020-03-28,2000,20
spasmo urolong,pharmacross s.a.,COMPRIMIDO,2020-03-28,2000,20
flusporan,laboratorios menarini,GEL,2020-03-20,2000,20
leche magnesia alfa,laboratorios alfa,SUSPENSION,2025-10-27,2000,25
piroxicam feltrex,laboratorios feltrex,TABLETA,2025-10-17,2000,25
ampicilina feltrex,laboratorios feltrex,CAPLETA,2025-10-18,2000,25
clotrimazol inmenol,inmenol industrial laboratorios s.r.l.,CREMA,2025-12-28,2000,25
sumigran,laboratorios sued,CAPLETA,2026-11-07,2000,26
ramicar 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-10-22,2000,25
coralat® 81,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
"vitaminas neurotropas 25,000",laboratorios sintesis,SOLUCION,2025-12-29,2000,25
brondil,laboratorio magnachem international,SOLUCION,2028-07-09,2000,28
propranolol,kwality pharmaceuticals,TABLETA,2024-11-13,2000,24
fitomenadiona,laboratorio sanderson s.a.,SOLUCION,2025-12-07,2000,25
genta-si 160 mg,laboratorios sintesis,SOLUCION,2025-12-18,2000,25
ambroxol inmenol,inmenol industrial laboratorios s.r.l,JARABE,2025-03-17,2000,25
carsipril d 20/12.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
sulfaplex,dr. elizardo perez espinosa,CREMA,2025-12-18,2000,25
viternum complex,industria farmaceutica del caribe,SOLUCION,2025-06-02,2000,25
mionor,industria farmaceutica del caribe,TABLETA,2025-06-20,2000,25
lomeflox,industria farmaceutica del caribe,CAPLETA,2025-06-09,2000,25
diocam 0.5,laboratorios casasco s.a.i.c.,COMPRIMIDO,2020-11-20,2000,20
miodar 200,laboratorios rowe,COMPRIMIDO,2020-08-14,2000,20
insuman r,sanofi-aventis deutschland gmbh,SOLUCION,2020-11-21,2000,20
dolotrop - k,dr. elizardo perez espinosa,COMPRIMIDO,2025-12-07,2000,25
insuman-n,sanofi-aventis deutschland gmbh,SUSPENSION,2020-11-21,2000,20
prostigmine,laboratorios grossman,SOLUCION,2025-11-21,2000,25
cardionil 10,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
vasonil 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-18,2000,25
maxidipin at,ethical pharmaceutical,COMPRIMIDO,2025-06-09,2000,25
nitroglicerina,laboratorio sanderson s.a.,SOLUCION,2025-11-13,2000,25
balsoprim plus,industria farmaceutica del caribe,SUSPENSION,2025-06-02,2000,25
viternum complex,industria farmaceutica del caribe,CAPSULA,2025-06-02,2000,25
alfagel,laboratorios alfa,SUSPENSION,2025-12-22,2000,25
lucotusin,laboratorios alfa,SUPOSITORIO,2025-12-22,2000,25
celerax 200,laboratorio de aplicaciones medicas,COMPRIMIDO,2025-11-28,2000,25
az ofteno,laboratorios sophia,SOLUCION,2025-12-26,2000,25
bromexan compuesto®,laboratorio san luis,POLVO,2025-12-07,2000,25
calcimax d3,gador s.a,COMPRIMIDO,2025-02-09,2000,25
nifedipina  lam 10 mg,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-03-20,2000,25
levotiroxina lam 0.2,laboratorios de aplicaciones medicas,COMPRIMIDO,2020-08-09,2000,20
prolyn adulto,laboratorios alfa,JARABE,2025-12-15,2000,25
meprax® 1,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
meprax® 0.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
complejo b alfa,laboratorios alfa,SOLUCION,2023-10-20,2000,23
neurobion,merck s.a. de c.v.,TABLETA,2025-01-30,2000,25
vasocal - ek 5/20,laboratorios rowe,CAPSULA,2026-10-22,2000,26
tavanic,sanofi-aventis deutschland gmbh,SOLUCION,2020-07-04,2000,20
carsipril compuesto 5/5,laboratorios de aplicaciones medicas,COMPRIMIDO,2026-09-10,2000,26
