product_name,manufacturer,pharmaceutical_form,expiration_date,register_year,durability
cardilat 50,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-06-28,2000,25
alicon complex,laboratorios ameripharma,JARABE,2025-11-08,2000,25
trental,sanofi-aventis de mexico s.a. de c.v.,SOLUCION,2020-05-23,2000,20
tensolisin-d,acromax dominicana,TABLETA,2025-12-18,2000,25
biovagin,gefarca industria  farmaceutica perezespinosa,CREMA,2025-12-18,2000,25
enalamer-10,laboratorios ameripharma,COMPRIMIDO,2025-11-28,2000,25
enalamer-20,ver al dorso,COMPRIMIDO,2025-11-27,2000,25
amloben 5/20,laboratorios rowe,CAPSULA,2025-06-28,2000,25
betametasona mk,laboratorio corporacion bonima,CREMA,2025-12-14,2000,25
foliner,laboratorios ameripharma,COMPRIMIDO,2025-11-08,2000,25
albendazol mk,laboratorio corporacion bonima,SUSPENSION,2025-12-07,2000,25
eutirox 50,merck,TABLETA,2028-08-07,2000,28
lodipres 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-02-15,2000,25
coradip d 50,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-28,2000,25
fluoxil 20,laboratorios rowe,COMPRIMIDO,2025-07-04,2000,25
vita-petit,laboratorios dr. collado,JARABE,2025-12-28,2000,25
melonax  15,laboratorios rowe,COMPRIMIDO,2025-11-28,2000,25
nor-clovir,laboratorios teramed,CREMA,2025-12-15,2000,25
nor-clovir,laboratorios teramed,TABLETA,2025-12-07,2000,25
foxetin 10,gador,COMPRIMIDO,2025-12-12,2000,25
baten®,laboratorios bussie s.a.,CAPSULA,2026-05-02,2000,26
biovit,laboratorios sued,JARABE,2025-04-15,2000,25
fotorretin,laboratorios poen,SOLUCION,2025-12-14,2000,25
amloben 2.5/10,laboratorios rowe,CAPSULA,2025-06-28,2000,25
ciprofloxacina lam 500 mg,laboratorio de aplicaciones medicas,CAPLETA,2025-12-18,2000,25
eritrex,laboratorios alfa,CAPLETA,2025-11-24,2000,25
glucagen,novo nordisk a/s,POLVO,2020-06-10,2000,20
seretide diskus 50/250 mcg,glaxo operations uk ltd (trading as glaxo wellcome operations),POLVO,2020-06-09,2000,20
disgren,noucor health,CAPSULA,2025-07-13,2000,25
psorigel - idcp,inst. derm. dom. y cirugia de piel dr. huberto b. diaz,GEL,2025-12-28,2000,25
carbo-c 600 d3,laboratorios de aplicaciones medicas,CAPLETA,2026-09-10,2000,26
atenolol feltrex,laboratorios feltrex,TABLETA,2025-11-30,2000,25
lodipres compositum,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-15,2000,25
tussibron balsamico pediatrico,laboratorio magnachem international,POLVO,2025-08-01,2000,25
eubron,laboratorios dr. collado,JARABE,2025-11-28,2000,25
vasocal ek 5/10,laboratorios rowe,CAPSULA,2025-07-04,2000,25
amloben 5/10,laboratorios rowe,CAPSULA,2025-06-28,2000,25
trifamox ibl 1000,laboratorios bago,COMPRIMIDO,2025-12-04,2000,25
neostigmina metilsulfato,laboratorio sanderson s.a.,SOLUCION,2025-11-24,2000,25
daprinol,industria farmaceutica del caribe sas,CAPSULA,2025-05-10,2000,25
ferrosul,laboratorio laprofar,CAPSULA,2025-02-09,2000,25
tussibron balsamico adultos,laboratorio magnachem international,POLVO,2025-08-01,2000,25
diazex,laboratorios alfa,SOLUCION,2025-06-09,2000,25
mucovibrol-c,laboratorios liomont,SOLUCION,2025-07-07,2000,25
supradol,laboratorios liomont,SOLUCION,2025-07-07,2000,25
atenolol normon,laboratorios normon,COMPRIMIDO,2025-11-08,2000,25
atenolol normon,laboratorios normon,COMPRIMIDO,2025-11-08,2000,25
trifamox ibl 1500,laboratorios bago s.a,POLVO,2025-11-30,2000,25
ranitidina normon 150 mg,laboratorios normon,COMPRIMIDO,2025-11-28,2000,25
trifamox ibl 750,laboratorios bago s.a.,POLVO,2025-11-30,2000,25
brondil compositum,laboratorio magnachem international,JARABE,2025-02-09,2000,25
sudermal,laboratorios sued,SHAMPOO,2025-02-09,2000,25
diocam 2,laboratorios casasco s.a.i.c.,COMPRIMIDO,2020-03-17,2000,20
ranitidina normon 300 mg,laboratorios normon,COMPRIMIDO,2025-12-04,2000,25
flusporan,laboratorios menarini,CREMA,2020-03-17,2000,20
dayamineral,abbott laboratories de mexico,JARABE,2025-12-11,2000,25
avelox,bayer  ag.,COMPRIMIDO,2025-02-16,2000,25
severin,productos farmaceuticos,SUPOSITORIO,2020-03-14,2000,20
mirena@,bayer oy,SISTEMA,2025-08-11,2000,25
kalm 25,labs. dr. collado s.a.,COMPRIMIDO,2025-11-23,2000,25
doxil 100,laboratorios dr. collado,CAPSULA,2025-11-08,2000,25
metoclopramida clorhidrato,laboratorio sanderson s.a.,SOLUCION,2025-12-28,2000,25
moltoben,laboratorio bussie,CAPSULA,2025-01-29,2000,25
migradorixina,roemmers,COMPRIMIDO,2020-03-17,2000,20
dafloxen f,laboratorios liomont,TABLETA,2025-07-07,2000,25
meprolol-h 100 /50,laboratorios dr. collado s. a.,CAPLETA,2025-12-28,2000,25
pharmatex 1.2 %,innothera chouzy,CREMA,2020-03-21,2000,20
nor-clovir,laboratorios teramed,SUSPENSION,2025-12-07,2000,25
nor-tripar,laboratorios teramed. s a. de c.v.,POLVO,2025-12-25,2000,25
mucifar compuesto,industria farmoquimica,JARABE,2025-10-27,2000,25
ciproquinol,acromax dominicana,SOLUCION,2025-11-21,2000,25
apetonil vita,laboratorio magnachem international,JARABE,2025-02-09,2000,25
avamigran,pharmacross s.a.,COMPRIMIDO,2020-03-28,2000,20
spasmo urolong,pharmacross s.a.,COMPRIMIDO,2020-03-28,2000,20
colofin,gefarca industria farmaceutica perezespinosa,UNGUENTO,2025-11-08,2000,25
flusporan,laboratorios menarini,GEL,2020-03-20,2000,20
leche magnesia alfa,laboratorios alfa,SUSPENSION,2025-10-27,2000,25
piroxicam feltrex,laboratorios feltrex,TABLETA,2025-10-17,2000,25
ampicilina feltrex,laboratorios feltrex,CAPLETA,2025-10-18,2000,25
clotrimazol inmenol,inmenol industrial laboratorios s.r.l.,CREMA,2025-12-28,2000,25
sumigran,laboratorios sued,CAPLETA,2026-11-07,2000,26
solucion de cloruro de sodio 0.9%,laboratorios biogalenic,SOLUCION,2025-12-28,2000,25
solución isotónica dextrosa 5%,laboratorios biogalenic,SOLUCION,2025-12-28,2000,25
winasorb,glaxosmithkline panama,CAPLETA,2025-11-28,2000,25
cardiomed retard,laboratorio dismed,CAPSULA,2020-03-21,2000,20
ramicar 5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-10-22,2000,25
herceptin,genentech inc.,POLVO,2025-12-04,2000,25
coralat® 81,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-05-10,2000,25
minoxiderm al 2%-idcp,inst. dermatologico dom.y cirugia de piel dr. huberto bogaert diaz (idcp),LOCION,2020-12-28,2000,20
metrogel,laboratoires galderma,GEL,2025-07-25,2000,25
"vitaminas neurotropas 25,000",laboratorios sintesis,SOLUCION,2025-12-29,2000,25
brondil,laboratorio magnachem international,SOLUCION,2028-07-09,2000,28
propranolol,kwality pharmaceuticals,TABLETA,2024-11-13,2000,24
fitomenadiona,laboratorio sanderson s.a.,SOLUCION,2025-12-07,2000,25
genta-si 160 mg,laboratorios sintesis,SOLUCION,2025-12-18,2000,25
ambroxol inmenol,inmenol industrial laboratorios s.r.l,JARABE,2025-03-17,2000,25
coaprovel,sanofi winthrop industrie,COMPRIMIDO,2025-08-20,2000,25
carsipril d 20/12.5,laboratorios de aplicaciones medicas,COMPRIMIDO,2025-12-07,2000,25
fucidin intertulle,leo pharmaceutical products ltd (leo pharma a/s),GASA,2020-11-07,2000,20
sulfaplex,dr. elizardo perez espinosa,CREMA,2025-12-18,2000,25
viternum complex,industria farmaceutica del caribe,SOLUCION,2025-06-02,2000,25
mionor,industria farmaceutica del caribe,TABLETA,2025-06-20,2000,25
lomeflox,industria farmaceutica del caribe,CAPLETA,2025-06-09,2000,25
cordarone,sanofi-aventis s,COMPRIMIDO,2025-01-26,2000,25
